Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.968750,43.968750,43.750000,43.937500,26.299288,1003200
1993-02-01,43.968750,44.250000,43.968750,44.250000,26.486324,480500
1993-02-02,44.218750,44.375000,44.125000,44.343750,26.542448,201300
1993-02-03,44.406250,44.843750,44.375000,44.812500,26.822998,529400
1993-02-04,44.968750,45.093750,44.468750,45.000000,26.935240,531500
1993-02-05,44.968750,45.062500,44.718750,44.968750,26.916538,492100
1993-02-08,44.968750,45.125000,44.906250,44.968750,26.916538,596100
1993-02-09,44.812500,44.812500,44.562500,44.656250,26.729490,122100
1993-02-10,44.656250,44.750000,44.531250,44.718750,26.766899,379600
1993-02-11,44.781250,45.125000,44.781250,44.937500,26.897835,19500
1993-02-12,44.875000,44.875000,44.593750,44.593750,26.692072,42500
1993-02-16,44.468750,44.468750,43.406250,43.468750,26.018700,374800
1993-02-17,43.468750,43.531250,43.281250,43.437500,25.999992,210900
1993-02-18,43.937500,43.937500,42.812500,43.406250,25.981276,378100
1993-02-19,43.406250,43.562500,43.343750,43.562500,26.074812,34900
1993-02-22,43.687500,43.781250,43.562500,43.718750,26.168346,513600
1993-02-23,43.843750,43.875000,43.468750,43.687500,26.149637,373700
1993-02-24,43.718750,44.250000,43.718750,44.250000,26.486324,26300
1993-02-25,44.218750,44.375000,44.125000,44.343750,26.542448,44500
1993-02-26,44.437500,44.437500,44.187500,44.406250,26.579865,66200
1993-03-01,44.562500,44.562500,44.218750,44.281250,26.505026,66500
1993-03-02,44.312500,44.937500,44.250000,44.937500,26.897835,182400
1993-03-03,45.000000,45.156250,44.937500,45.125000,27.010061,280100
1993-03-04,45.187500,45.187500,44.875000,44.875000,26.860428,89500
1993-03-05,44.937500,45.125000,44.718750,44.750000,26.785612,40000
1993-03-08,44.843750,45.750000,44.843750,45.750000,27.384171,50800
1993-03-09,45.656250,45.687500,45.500000,45.593750,27.290640,169300
1993-03-10,45.593750,45.687500,45.406250,45.687500,27.346737,194400
1993-03-11,45.718750,45.843750,45.500000,45.562500,27.271942,70900
1993-03-12,45.187500,45.218750,44.812500,45.093750,26.991364,643600
1993-03-15,45.062500,45.312500,45.062500,45.312500,27.122303,310800
1993-03-16,45.312500,45.437500,45.312500,45.312500,27.122303,30800
1993-03-17,45.250000,45.250000,44.968750,45.031250,26.953955,21800
1993-03-18,45.218750,45.500000,45.218750,45.312500,27.122303,59300
1993-03-19,45.281250,45.281250,45.031250,45.031250,27.081253,66900
1993-03-22,44.593750,44.875000,44.562500,44.781250,26.930897,183400
1993-03-23,44.906250,44.937500,44.812500,44.875000,26.987293,55200
1993-03-24,44.812500,45.062500,44.593750,44.875000,26.987293,37200
1993-03-25,44.906250,45.250000,44.843750,45.156250,27.156414,110100
1993-03-26,45.125000,45.156250,44.875000,44.906250,27.006079,101500
1993-03-29,44.937500,45.312500,44.937500,45.093750,27.118855,87100
1993-03-30,45.156250,45.218750,45.093750,45.218750,27.194014,56000
1993-03-31,45.343750,45.468750,45.187500,45.187500,27.175211,111600
1993-04-01,45.250000,45.250000,44.937500,45.031250,27.081253,129500
1993-04-02,44.656250,44.656250,44.093750,44.093750,26.517452,59400
1993-04-05,44.437500,44.437500,44.187500,44.312500,26.649002,172200
1993-04-06,44.406250,44.406250,44.062500,44.187500,26.573824,129700
1993-04-07,44.250000,44.343750,44.156250,44.343750,26.667795,28000
1993-04-08,44.531250,44.531250,44.093750,44.281250,26.630207,180800
1993-04-12,44.718750,44.937500,44.656250,44.906250,27.006079,348500
1993-04-13,44.875000,45.156250,44.843750,45.000000,27.062454,146100
1993-04-14,45.031250,45.062500,44.906250,44.937500,27.024878,119600
1993-04-15,44.906250,45.031250,44.750000,44.937500,27.024878,148600
1993-04-16,44.968750,45.031250,44.875000,44.937500,27.024878,47900
1993-04-19,44.937500,45.062500,44.718750,44.750000,26.912119,157000
1993-04-20,44.687500,44.750000,44.250000,44.531250,26.780556,279500
1993-04-21,44.625000,44.625000,44.375000,44.500000,26.761780,67900
1993-04-22,44.312500,44.687500,43.937500,43.937500,26.423485,97700
1993-04-23,43.843750,43.968750,43.687500,43.750000,26.310705,106000
1993-04-26,43.781250,43.937500,43.281250,43.406250,26.103985,62600
1993-04-27,43.343750,43.875000,43.343750,43.875000,26.385897,156800
1993-04-28,43.812500,43.906250,43.718750,43.781250,26.329517,85900
1993-04-29,43.875000,43.968750,43.625000,43.968750,26.442284,85000
1993-04-30,44.125000,44.281250,44.031250,44.031250,26.479858,88500
1993-05-03,44.093750,44.312500,43.906250,44.312500,26.649002,80500
1993-05-04,44.406250,44.625000,44.343750,44.468750,26.742975,149100
1993-05-05,44.468750,44.750000,44.468750,44.593750,26.818151,109000
1993-05-06,44.531250,44.562500,44.406250,44.437500,26.724173,54700
1993-05-07,44.468750,44.468750,44.281250,44.343750,26.667795,68000
1993-05-10,44.406250,44.687500,44.406250,44.437500,26.724173,113900
1993-05-11,44.437500,44.625000,44.312500,44.625000,26.836931,42600
1993-05-12,44.437500,44.593750,44.437500,44.562500,26.799360,31000
1993-05-13,44.375000,44.375000,44.000000,44.031250,26.479858,129100
1993-05-14,44.031250,44.156250,43.968750,44.000000,26.461075,63500
1993-05-17,44.125000,44.156250,43.937500,44.156250,26.555033,34000
1993-05-18,44.187500,44.218750,43.968750,44.125000,26.536251,105200
1993-05-19,44.125000,45.031250,43.843750,45.031250,27.081253,50200
1993-05-20,45.031250,45.156250,44.937500,45.156250,27.156414,98200
1993-05-21,45.187500,45.250000,44.718750,44.750000,26.912119,221400
1993-05-24,44.843750,45.093750,44.843750,44.937500,27.024878,30500
1993-05-25,45.125000,45.125000,45.031250,45.031250,27.081253,191800
1993-05-26,45.156250,45.625000,45.125000,45.593750,27.419529,102400
1993-05-27,45.656250,45.656250,45.375000,45.437500,27.325569,53800
1993-05-28,45.406250,45.406250,45.000000,45.218750,27.194014,79100
1993-06-01,45.375000,45.812500,45.312500,45.656250,27.457119,28300
1993-06-02,45.531250,45.750000,45.343750,45.593750,27.419529,20300
1993-06-03,45.500000,45.500000,45.343750,45.437500,27.325569,21600
1993-06-04,45.312500,45.312500,45.093750,45.281250,27.231596,32000
1993-06-07,45.375000,45.375000,45.125000,45.125000,27.137621,121400
1993-06-08,45.000000,45.000000,44.718750,44.718750,26.893314,104500
1993-06-09,44.875000,45.062500,44.812500,44.875000,26.987293,43300
1993-06-10,44.843750,44.937500,44.750000,44.906250,27.006079,17900
1993-06-11,45.062500,45.156250,44.906250,45.093750,27.118855,647400
1993-06-14,45.156250,45.187500,45.031250,45.031250,27.081253,64200
1993-06-15,45.093750,45.125000,44.937500,44.937500,27.024878,142400
1993-06-16,44.937500,45.031250,44.812500,45.031250,27.081253,330900
1993-06-17,45.125000,45.187500,45.031250,45.187500,27.175211,37400
1993-06-18,44.843750,44.843750,44.500000,44.500000,26.951450,58500
1993-06-21,44.625000,44.625000,44.531250,44.593750,27.008213,29300
1993-06-22,44.656250,44.656250,44.562500,44.625000,27.027128,137500
1993-06-23,44.625000,44.625000,44.218750,44.218750,26.781092,227600
1993-06-24,44.343750,44.812500,44.343750,44.812500,27.140688,243700
1993-06-25,44.781250,44.906250,44.750000,44.781250,27.121758,44800
1993-06-28,45.000000,45.281250,44.937500,45.281250,27.424593,439900
1993-06-29,45.218750,45.218750,45.000000,45.062500,27.292105,207500
1993-06-30,45.125000,45.218750,45.000000,45.062500,27.292105,437600
1993-07-01,45.125000,45.125000,44.875000,44.937500,27.216400,605700
1993-07-02,44.781250,44.812500,44.531250,44.687500,27.064991,285400
1993-07-06,44.625000,44.750000,44.156250,44.218750,26.781092,246400
1993-07-07,44.187500,44.406250,44.187500,44.343750,26.856804,343700
1993-07-08,44.375000,44.937500,44.312500,44.843750,27.159624,248200
